week_sort,value,type,Season,Age Group
År 1 uge 21,3.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 21,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 21,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 21,1.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 21,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 21,2.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 21,1.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 22,1.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 22,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 22,1.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 22,1.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 22,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 22,4.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 22,2.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 23,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 23,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 23,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 23,1.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 23,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 23,4.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 23,5.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 24,1.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 24,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 24,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 24,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 24,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 24,5.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 24,11.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 25,1.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 25,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 25,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 25,2.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 25,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 25,8.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 25,9.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 26,1.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 26,1.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 26,2.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 26,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 26,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 26,23.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 26,12.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 27,1.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 27,1.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 27,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 27,1.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 27,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 27,26.0,cases,2021/2022,01. 0-5 måneder
